,altitude,cadence,distance,heart_rate,latitude,longitude,time
1566,87.4000015258789,0.0,39865.05859375,112,53.47906510345638,-6.269844202324748,2015-09-13T08:27:37
1567,86.80000305175781,0.0,39876.359375,112,53.479165183380246,-6.269874460995197,2015-09-13T08:27:38
1568,86.0,0.0,39887.26171875,111,53.47925931215286,-6.269919807091355,2015-09-13T08:27:39
1569,85.19999694824219,0.0,39899.05078125,110,53.47935578785837,-6.269993651658297,2015-09-13T08:27:40
1570,84.4000015258789,0.0,39910.25,110,53.479445055127144,-6.270071770995855,2015-09-13T08:27:41
1571,83.5999984741211,62.0,39921.69140625,110,53.479537423700094,-6.270147627219558,2015-09-13T08:27:42
1572,82.80000305175781,121.0,39932.828125,111,53.47962794825435,-6.270219460129738,2015-09-13T08:27:43
1573,82.80000305175781,111.0,39956.828125,114,53.47982316277921,-6.270373770967126,2015-09-13T08:27:45
1574,82.80000305175781,110.0,39980.609375,117,53.48001569509506,-6.270528752356768,2015-09-13T08:27:47
1575,82.80000305175781,85.0,40004.12890625,121,53.480207305401564,-6.27067836932838,2015-09-13T08:27:49
1576,82.80000305175781,68.0,40033.19140625,122,53.48044543527067,-6.2708559818565845,2015-09-13T08:27:52
1577,82.80000305175781,92.0,40043.078125,122,53.480531768873334,-6.270890766754746,2015-09-13T08:27:53
1578,82.80000305175781,95.0,40073.44921875,123,53.480803007259965,-6.270849443972111,2015-09-13T08:27:56
1579,82.4000015258789,95.0,40082.8203125,123,53.48088623955846,-6.270828573033214,2015-09-13T08:27:57
1580,82.0,38.0,40091.8515625,124,53.48096653819084,-6.270808791741729,2015-09-13T08:27:58
1581,81.5999984741211,89.0,40100.87109375,123,53.48104666918516,-6.2707876693457365,2015-09-13T08:27:59
1582,81.19999694824219,90.0,40110.8515625,124,53.481135768815875,-6.270771576091647,2015-09-13T08:28:00
1583,80.80000305175781,92.0,40121.078125,123,53.48122704774141,-6.270752884447575,2015-09-13T08:28:01
1584,80.80000305175781,92.0,40131.8515625,124,53.48132377490401,-6.270743748173118,2015-09-13T08:28:02
1585,80.80000305175781,91.0,40193.23828125,124,53.48187480121851,-6.270711477845907,2015-09-13T08:28:08
1586,80.80000305175781,94.0,40202.98046875,124,53.48196230828762,-6.270714243873954,2015-09-13T08:28:09
1587,80.4000015258789,97.0,40244.55859375,124,53.482335386797786,-6.270748358219862,2015-09-13T08:28:13
1588,80.0,72.0,40254.80078125,124,53.482426665723324,-6.270767133682966,2015-09-13T08:28:14
