time,distance_diff,time_diff,speed,moving,breaks
2015-09-13 07:12:16,8.169921875,4,7.4,True,False
2015-09-13 07:12:21,8.7998046875,5,6.3,True,False
2015-09-13 07:12:27,11.1801757812,6,6.7,True,False
2015-09-13 07:12:29,3.8500976562,2,6.9,True,False
2015-09-13 07:12:30,1.6098632812,1,5.8,True,False
2015-09-13 07:12:36,11.8100585938,6,7.1,True,False
2015-09-13 07:12:42,10.919921875,6,6.6,True,False
2015-09-13 07:12:50,18.7299804688,8,8.4,True,False
2015-09-13 07:12:54,11.509765625,4,10.4,True,False
2015-09-13 07:12:55,3.5903320312,1,12.9,True,False
2015-09-13 07:12:58,6.33984375,3,7.6,True,False
2015-09-13 07:13:03,14.2797851562,5,10.3,True,False
2015-09-13 07:13:10,30.7602539062,7,15.8,True,False
2015-09-13 07:13:12,9.0698242188,2,16.3,True,False
2015-09-13 07:13:14,8.3803710938,2,15.1,True,False
2015-09-13 07:13:18,17.2099609375,4,15.5,True,False
2015-09-13 07:13:20,8.759765625,2,15.8,True,False
2015-09-13 07:13:23,14.3500976562,3,17.2,True,False
2015-09-13 07:13:26,15.0600585938,3,18.1,True,False
2015-09-13 07:13:29,18.0600585938,3,21.7,True,False
2015-09-13 07:13:31,12.6098632812,2,22.7,True,False
2015-09-13 07:13:34,20.6098632812,3,24.7,True,False
2015-09-13 07:13:42,49.7700195312,8,22.4,True,False
2015-09-13 07:13:47,32.6401367188,5,23.5,True,False
2015-09-13 07:13:48,6.91015625,1,24.9,True,False
2015-09-13 07:13:55,44.759765625,7,23.0,True,False
2015-09-13 07:14:02,44.2998046875,7,22.8,True,False
2015-09-13 07:14:04,13.2700195312,2,23.9,True,False
2015-09-13 07:14:11,52.580078125,7,27.0,True,False
2015-09-13 07:14:15,32.0703125,4,28.9,True,False
2015-09-13 07:14:20,37.5297851562,5,27.0,True,False
2015-09-13 07:14:29,65.9301757812,9,26.4,True,False
2015-09-13 07:14:33,30.1997070312,4,27.2,True,False
2015-09-13 07:14:40,54.25,7,27.9,True,False
2015-09-13 07:14:48,62.5400390625,8,28.1,True,False
2015-09-13 07:14:54,43.8203125,6,26.3,True,False
2015-09-13 07:14:55,6.9096679688,1,24.9,True,False
2015-09-13 07:14:58,20.0200195312,3,24.0,True,False
2015-09-13 07:15:03,35.66015625,5,25.7,True,False
2015-09-13 07:15:11,61.009765625,8,27.5,True,False
2015-09-13 07:15:18,48.0,7,24.7,True,False
2015-09-13 07:15:24,41.7602539062,6,25.1,True,False
2015-09-13 07:15:28,31.9697265625,4,28.8,True,False
2015-09-13 07:15:29,8.4404296875,1,30.4,True,False
2015-09-13 07:15:33,31.419921875,4,28.3,True,False
2015-09-13 07:15:35,16.2099609375,2,29.2,True,False
2015-09-13 07:15:36,7.5400390625,1,27.1,True,False
2015-09-13 07:15:40,30.8696289062,4,27.8,True,False
2015-09-13 07:15:42,15.5302734375,2,28.0,True,False
2015-09-13 07:15:46,31.2202148438,4,28.1,True,False
2015-09-13 07:15:51,38.849609375,5,28.0,True,False
2015-09-13 07:15:52,8.7001953125,1,31.3,True,False
2015-09-13 07:15:56,33.5595703125,4,30.2,True,False
2015-09-13 07:16:00,30.970703125,4,27.9,True,False
2015-09-13 07:16:04,33.9697265625,4,30.6,True,False
2015-09-13 07:16:07,25.51953125,3,30.6,True,False
2015-09-13 07:16:15,65.560546875,8,29.5,True,False
2015-09-13 07:16:18,24.759765625,3,29.7,True,False
2015-09-13 07:16:19,8.580078125,1,30.9,True,False
2015-09-13 07:16:20,7.990234375,1,28.8,True,False
2015-09-13 07:16:21,8.3994140625,1,30.2,True,False
2015-09-13 07:16:22,8.55078125,1,30.8,True,False
2015-09-13 07:16:23,8.58984375,1,30.9,True,False
2015-09-13 07:16:26,25.0,3,30.0,True,False
2015-09-13 07:16:33,60.6201171875,7,31.2,True,False
2015-09-13 07:16:34,8.9296875,1,32.1,True,False
2015-09-13 07:16:38,35.509765625,4,32.0,True,False
