time,altitude,cadence,distance,heart_rate,latitude,longitude,time_diff,breaks,distance_diff,speed,moving
2015-09-13 11:04:52,130.60000610351562,96,93678.87890625,136,53.40501429978758,-6.361150830052793,0.0,False,8.08203125,29.280468749999752,True
2015-09-13 11:04:53,130.60000610351562,96,93686.9609375,136,53.40497838333249,-6.361045008525252,2.0,False,8.08203125,29.187890624999753,True
2015-09-13 11:04:54,130.60000610351562,95,93694.87760416669,136,53.4049390302971,-6.360945892520249,0.0,False,7.916666666686069,28.896875000023034,True
2015-09-13 11:04:55,130.60000610351562,94,93702.79427083331,135,53.40489967726172,-6.360846776515245,0.0,False,7.916666666627862,28.698437499976468,True
2015-09-13 11:04:56,130.60000610351562,92,93710.7109375,134,53.40486032422632,-6.360747660510242,0.0,False,7.916666666686069,28.499999999999748,True
2015-09-13 11:04:57,130.60000610351562,91,93718.62760416669,134,53.40482097119092,-6.3606485445052385,0.0,False,7.916666666686069,28.499999999999748,True
2015-09-13 11:04:58,130.60000610351562,90,93726.54427083331,134,53.404781618155525,-6.360549428500236,0.0,False,7.916666666627862,28.499999999999748,True
2015-09-13 11:04:59,130.60000610351562,89,93734.4609375,133,53.40474226512014,-6.3604503124952325,6.0,False,7.916666666686069,28.499999999999748,True
2015-09-13 11:05:00,130.60000610351562,89,93742.20052083331,133,53.404696499928825,-6.360361520200969,0.0,False,7.739583333313931,28.287499999953184,True
2015-09-13 11:05:01,130.60000610351562,90,93749.94010416669,133,53.40465073473752,-6.360272727906704,0.0,False,7.739583333372138,28.075000000046316,True
2015-09-13 11:05:02,130.60000610351562,90,93757.6796875,133,53.40460496954621,-6.36018393561244,3.0,False,7.739583333313931,27.862499999999752,True
2015-09-13 11:05:03,130.53333791097006,90,93765.55338541669,133,53.404552596621215,-6.360101876780392,0.0,False,7.873697916686069,28.023437500046317,True
2015-09-13 11:05:04,130.4666697184245,91,93773.42708333331,133,53.40450022369624,-6.360019817948341,0.0,False,7.873697916627862,28.18437499995318,True
2015-09-13 11:05:05,130.4000015258789,92,93781.30078125,134,53.40444785077125,-6.359937759116293,0.0,False,7.873697916686069,28.34531249999975,True
2015-09-13 11:05:06,130.33333333333334,92,93789.17447916669,134,53.40439547784626,-6.359855700284243,0.0,False,7.873697916686069,28.34531249999975,True
2015-09-13 11:05:07,130.26666514078778,92,93797.04817708331,134,53.40434310492128,-6.359773641452192,0.0,False,7.873697916627862,28.34531249999975,True
